,sentence_id,word_sequence,passage_id,bin_id_audio,onset,offset,word,prominence_value,boundary_value,prominence_label,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_gpt2,surprisal_bert,sentence_seq,bin_id_video,word_prev,lemma_prev,syllable_num_prev,pos_prev,pos_detail_prev,word_len_prev,surprisal_prev,mean_f0_prev,meaningful_gesture_prev,beat_gesture_prev,gesture_corres_prev,mouth_dist_prev
4212,82S,1,82,4213,0.051,0.24,Dont,1.076,0.021,1,8.64036120962735,8.64003676299927,8.64003676299927,8.64003676299927,8.64003676299927,7.311649,0.0234328303486108,,,,,,,,,,,,,,
4213,82S,2,82,4214,0.24,0.359,go,0,0,0,0.74651031192431,1.05460909826517,1.05063586227404,1.05063586227404,1.05063586227404,0.18025556,0.00181426829658448,1,1047,go,go,1,1,VB,2,5.890338632,389.4648984,0,0,0,0.578
4214,82S,3,82,4215,0.359,0.63,running,0.469,0.144,0,5.05164882170358,6.20782124311946,5.32169382025022,5.57686203508374,5.57686203508374,4.4921474,0.000021099822333781,1,1048,running,run,2,1,VBG,7,7.476432526,336.4853413,0,0,1,0.632
4215,82S,4,82,4216,0.63,0.74,off,0.268,0.65,0,9.55960853955634,10.2898407300789,10.0818435415027,10.154706239076,10.0940517379753,4.595641,1.59300744533538,,,,,,,,,,,,,,
4216,82S,5,82,4217,0.74,0.928,for,0.135,0,0,5.77759952448933,5.66047758562538,5.59703756474316,5.59703756474316,5.59703756474316,4.11917,1.53510177135467,,,,,,,,,,,,,,
4217,82S,6,82,4218,0.928,1.721,long,0.979,1.394,1,4.42514540225813,5.78937347852067,5.69704453224138,5.69704453224138,5.69704453224137,5.203197,2.31760358810424,1,1049,long,long,1,1,RB,4,7.112841253,295.2521313,0,0,0,0.456
4218,82S,7,82,4219,1.721,1.852,I,1,0,1,3.15207886829076,2.36946364425699,2.38999738275706,2.38999738275706,2.38999738275705,7.514623,3.26651430130004,,,,,,,,,,,,,,
4219,82S,8,82,4220,1.852,1.99,want,0,0,0,5.73697068176303,5.01155688050396,5.03630650374239,4.95965255673837,4.95965255673836,3.6978943,0.0878613144159317,2,1050,want,want,1,1,VBP,4,6.452617048,292.6125731,0,0,1,0.655
4220,82S,9,82,4221,1.99,2.145,you,0.414,0.404,0,4.75051678557909,4.20416485876798,4.50233981915276,4.46812799273047,4.46812799273047,4.4615536,0.0123315518721938,,,,,,,,,,,,,,
4221,82S,10,82,4222,2.145,2.31,to,0.057,0,0,4.21787972828763,2.7350027278887,2.99261938935717,2.90904611020362,2.90904611020361,1.3473567,0.710229158401489,,,,,,,,,,,,,,
4222,82S,11,82,4223,2.31,2.518,write,0.901,0.794,1,3.88204013764413,0.358170549361319,0.163997065404702,0.114548487980082,0.107638848742189,0.18508036,0.0417892001569271,2,1051,write,write,1,1,VB,5,7.472242614,299.2243296,0,0,1,0.052
4223,82S,12,82,4224,2.518,2.71,some,0.107,0,0,6.04381429609156,5.63878193293184,6.01310715202747,6.12779436873312,6.26570010606176,6.540307,0.000485183292767033,,,,,,,,,,,,,,
4224,82S,13,82,4225,2.71,3.28,letters,1.185,0.869,1,5.1701053286773,5.21324684858929,5.08076667137123,5.01727779135212,5.01727779135212,4.0200367,0.273262619972229,2,1052,letters,letter,2,1,NNS,7,7.778141036,319.7517593,0,0,0,0.612
4225,83S,0,83,4226,0,0.324,That,1.868,0.295,2,7.30214129111236,7.30208364831041,7.30208364831041,7.30208364831041,7.30208364831041,6.422054,2.27115321159362,,,,,,,,,,,,,,
4226,83S,1,83,4227,0.324,0.605,meant,0.535,0.199,1,6.96206303309925,8.95948823056059,8.92861694175572,8.92861694175572,8.92861694175572,6.947506,0.540328025817871,1,1053,meant,mean,1,1,VBD,5,7.497582786,226.3177655,0,0,0,1.128
4227,83S,2,83,4228,0.605,1.335,defeat,1.625,0.435,2,12.2362152662224,11.8419549702984,11.6944102585266,11.6944102585266,11.6944102585265,9.851316,6.91816568374633,1,1054,defeat,defeat,2,1,NN,6,9.831802376,356.079971,0,0,1,0.874
4228,83S,4,83,4229,1.72,1.85,As,0.342,0,0,4.58748015905058,5.25001307460629,4.92645469465123,4.92645469465123,4.92645469465122,5.1717734,2.32206964492797,,,,,,,,,,,,,,
