,passage_id,delay,onset,is_gesture,word,bin_id,pos_prev,lemma,word_length,surprisal_prev,word_seq,word_mapped,is_seg,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_bert,surprisal_gpt2
158,03-N,0.027,3.49,FALSE,s,339,0,be,2,3.572,13,s,False,0.4376861183699382,0.0148311316004204,0.0804676102206648,0.0804676102206648,0.0804676102206648,7.547277450561523,4.238802
159,03-N,0.027,3.57,FALSE,not,340,1,not,3,5.014,14,not,False,4.677854465364913,4.269273501521716,2.426771294480982,2.9000261096575337,2.9000261096575337,0.2683128416538238,0.14539324
160,03-N,0.027,3.73,FALSE,very,341,1,very,4,6.515,15,very,False,6.118179549368881,7.223368833892131,7.360070660128747,7.479698688429588,7.378464203739502,2.8433141708374023,1.2107315
161,03-N,0.027,4.058,FALSE,heavy,342,1,heavy,5,9.102,16,heavy,False,5.427815316587012,6.4227712515681405,6.167020569945453,6.167020569945453,6.167020569945453,3.688577890396118,2.6444643
162,03-N,0.027,4.976,FALSE,it,343,0,-PRON-,2,inf,17,it,False,3.593714136195298,4.725015061020055,4.551761385091766,4.551761385091766,4.551761385091766,0.0006429274217225,7.244219
163,03-N,0.027,5.064,FALSE,s,344,0,be,2,3.648,,s,False,0.4376861183699382,0.0071299331715489,0.0096067015507417,0.0114660046530778,0.0114660046530778,3.920674324035645,2.6809704
164,03-N,0.027,5.14,FALSE,not,345,1,not,3,5.096,18,not,False,4.677854465364913,4.269273501521716,2.4638199702275045,2.3188949865592967,2.362705162973835,2.206930637359619,2.3530788
165,03-N,0.027,5.33,FALSE,like,346,0,like,4,6.247,19,like,False,5.676982092269578,2.7977675045195785,2.7621321753788126,2.420886238892046,2.3035062798670154,0.0117355678230524,0.015638808
166,03-N,0.027,5.601,FALSE,they,347,0,-PRON-,4,inf,20,they,False,5.105013429785085,7.03193763761561,6.441700598747441,6.485012851148997,6.475245415604375,0.9269423484802246,0.075812146
167,03-N,0.027,5.66,FALSE,re,348,0,be,3,3.551,21,re,False,3.421670684618298,0.4544028397343847,0.5758711487984758,0.5441427321154141,0.5441427321154141,8.50085163116455,4.5898347
168,03-N,0.027,5.754,FALSE,hitting,349,1,hit,7,8.056,22,hitting,False,14.323288745183142,13.665265967145247,13.615883104230402,13.611240937247189,13.55058643614652,5.776998996734619,5.159155
169,03-N,0.027,6.07,FALSE,a,350,0,a,1,3.684,23,a,False,2.288680962941352,2.9938235749387285,2.9938235749387285,2.9938235749387285,2.9938235749387285,0.0159833151847124,1.7524493
170,03-N,0.027,6.196,FALSE,rock,351,1,rock,4,8.714,24,rock,False,7.691702326230342,8.491198107568605,8.336054427563415,8.336054427563415,8.336054427563415,2.703411340713501,0.006085557
171,03-N,0.027,6.592,FALSE,or,352,0,or,2,5.046,25,or,False,5.564447422482229,5.363538651608004,4.971400708753595,4.971400708753595,4.971400708753595,0.7797743082046509,8.755575
172,03-N,0.027,6.69,FALSE,a,353,0,a,1,3.698,26,a,False,3.71397156899546,3.1172469700132743,1.6356268571862524,1.567021080536493,1.567021080536493,0.3233506381511688,8.589909
173,03-N,0.027,6.747,FALSE,small,354,1,small,5,7.384,27,small,False,5.070563895427165,4.995393289859832,5.29338681266325,5.342286573999899,5.28163207289923,2.326412916183472,1.9471569
174,03-N,0.027,7.023,FALSE,something,355,1,something,9,7.34,28,something,False,11.116454979325905,11.754136985005474,11.657908640419446,11.44399345751042,11.44399345751042,6.517670631408691,5.5833683
175,03-N,0.027,7.55,FALSE,made,356,1,make,4,5.917,29,made,False,7.411871775829903,7.131519146337573,7.131519146337573,7.131519146337573,7.131519146337573,0.0205888468772172,2.4222484
176,03-N,0.027,7.77,FALSE,from,357,0,from,4,5.319,30,from,False,4.10977120222097,4.51573737877218,4.37552839977158,4.37552839977158,4.37552839977158,1.9306830167770384,2.0480633
177,03-N,0.027,8.06,FALSE,osmium,358,1,osmium,6,14.685,31,osmium,False,14.924820479357912,15.02613127213819,14.81357645935504,14.81357645935504,14.81357645935504,0.0716258361935615,6.000987
178,03-N,0.027,8.94,FALSE,which,359,0,which,5,5.649,32,which,False,3.5103126874894466,3.15881786081706,3.0017483622478784,3.0017483622478784,3.0017483622478784,0.0276118014007806,7.8391337
179,03-N,0.027,9.139,FALSE,is,360,0,be,2,3.558,33,is,False,2.8301438194342508,2.542289939982292,3.0461475932003763,2.9826592621603334,2.9826592621603334,0.0430090464651584,2.3771129
180,03-N,0.027,9.234,FALSE,the,361,0,the,3,2.902,34,the,False,2.5312711066564217,2.5092460665232026,2.4528217236166143,2.5728301944102854,2.5728301944102854,0.0440789014101028,7.687089
181,03-N,0.027,9.306,FALSE,heaviest,362,1,heavy,8,8.594,35,heaviest,False,9.546420964429712,7.829567988087157,8.398204347640227,8.662696422932937,8.565437095660712,0.0400174558162689,5.768532
182,03-N,0.027,9.761,FALSE,metal,363,1,metal,5,7.119,36,metal,False,6.739203334265737,6.042868405160617,6.24532310108507,6.190269284417081,6.190269284417081,0.000567870971281,1.642719
183,03-N,0.027,10.13,FALSE,known,364,1,know,5,6.568,37,known,False,8.619990792399456,8.314610207282165,8.419072688881107,8.355584357841064,8.355584357841064,0.0001643761061131,3.9628627
184,03-N,0.027,10.41,FALSE,to,365,0,to,2,3.501,38,to,False,2.588545269157382,1.900289664968528,2.066954494145099,2.066954494145099,2.066954494145099,0.0001631842023925,4.0038633
185,03-N,0.027,10.542,FALSE,man,366,1,man,3,7.409,39,man,False,9.040160155349636,5.760666814173554,1.8312956228742467,2.252273769233605,2.252273769233605,4.887569048150908e-06,1.3013828
186,04-N,0.04,0.15,FALSE,what,406,0,what,4,6.41,1,what,False,7.744795189674107,7.744732057081502,7.744732057081502,7.744732057081502,7.744732057081502,3.258502244949341,5.711351
187,04-N,0.04,0.83,FALSE,i,407,0,-PRON-,1,inf,2,i,False,3.648595024457456,4.272499851493374,4.034120239970771,4.034120239970771,4.034120239970771,0.0007169060409069,3.6066842
188,04-N,0.04,0.98,FALSE,assure,408,1,assure,6,10.402,3,assure,False,9.063277114845391,9.366713765089507,9.330081489964648,9.330081489964648,9.330081489964648,2.062382936477661,8.58217
189,04-N,0.04,1.233,FALSE,you,409,0,-PRON-,3,inf,4,you,False,2.185675334539157,0.1037628935571365,0.18601230969271,0.18601230969271,0.18601230969271,0.006994642317295,0.021958556
190,04-N,0.04,1.405,FALSE,hannay,410,0,Hannay,6,inf,5,hannay,False,13.841348806690847,14.223252681794422,14.21048891850685,14.283351616080164,14.222697114979496,7.036302089691162,12.692948
191,04-N,0.04,1.87,FALSE,tomorrow,411,1,tomorrow,8,9.593,6,tomorrow,False,13.48286108467407,13.081891166603729,13.018451145721505,13.018451145721505,13.018451145721505,0.0114638414233922,4.456419
192,04-N,0.04,2.263,FALSE,it,412,0,-PRON-,2,inf,7,it,False,8.4816200698018,8.69975141193872,8.600736998592073,8.600736998592073,8.600736998592073,8.976008415222168,9.5654955
193,04-N,0.04,2.304,FALSE,will,413,0,will,4,4.397,8,will,False,5.245839186766485,5.304788009908681,5.304788009908681,5.304788009908681,5.304788009908681,0.002559007378295,3.9688823
194,04-N,0.04,2.343,FALSE,be,414,0,be,2,3.109,9,be,False,1.5409876697519107,1.1576622133565868,1.7573012049561012,1.7573012049561012,1.7573012049561012,0.0313948765397071,0.62815064
195,04-N,0.04,2.483,FALSE,impossible,415,1,impossible,10,9.463,10,impossible,False,7.241313861605857,7.484325483998949,4.906373040412118,5.4592108804000405,5.4592108804000405,0.0107005862519145,0.31864193
196,04-N,0.04,3.081,FALSE,either,416,0,either,6,7.901,11,either,False,11.133064889950798,11.862045408202528,11.534416897451168,11.589371897887252,11.357813625750872,1.8976025581359863,6.378955
197,04-N,0.04,3.331,FALSE,to,417,0,to,2,3.137,12,to,False,3.932541819895753,3.913594356407271,3.913594356407271,3.913594356407271,3.913594356407271,3.53727650642395,9.163255
198,04-N,0.04,3.45,FALSE,steal,418,1,steal,5,9.823,13,steal,False,8.188409252622524,8.630949512517585,8.508159364795823,8.508159364795823,8.508159364795823,0.0013459203764796,0.5614891
199,04-N,0.04,3.953,FALSE,or,419,0,or,2,5.288,14,or,False,7.414143451205557,7.974804791864928,7.741789529287034,7.741789529287034,7.741789529287034,6.684710502624512,7.59271
200,04-N,0.04,4.06,FALSE,copy,420,1,copy,4,8.82,15,copy,False,11.866840191366126,11.386464843212307,11.386464843212307,11.386464843212307,11.386464843212307,0.0011017211945727,2.2279687
201,04-N,0.04,4.467,FALSE,those,421,0,those,5,7.003,16,those,False,8.858707751558198,8.009119826351645,8.009119826351645,8.009119826351645,8.009119826351645,4.279386043548584,8.698446
202,04-N,0.04,4.681,FALSE,plans,422,1,plan,5,6.985,17,plans,False,6.623395651286109,6.57191843323397,6.508478412351747,6.508478412351747,6.508478412351747,4.048075199127197,5.294739
203,04-N,0.04,5.707,FALSE,the,423,0,the,3,2.815,18,the,False,1.898390883623544,2.0564028420045077,2.1487360428715614,2.177258661986753,2.177258661986753,0.023737296462059,2.782411
204,04-N,0.04,5.823,FALSE,first,424,0,First,5,10.185,19,first,False,7.131884217416551,7.918143564491304,7.937596637699694,7.97527142407114,7.914616922970471,0.0647915601730346,3.6191814
205,04-N,0.04,6.17,FALSE,sea,425,0,Sea,3,10.871,20,sea,False,4.996455015373731,5.661919204653046,5.025670583315148,4.9341266771004255,4.9341266771004255,1.0980918407440186,8.570874
206,04-N,0.04,6.36,FALSE,lord,426,0,Lord,4,9.214,21,lord,False,4.530578478845994,0.0161073063509266,0.0376183144389168,0.0373046458139045,0.0352470443961983,2.514176845550537,8.413146
207,04-N,0.04,6.638,FALSE,prince,427,0,Prince,6,11.137,22,prince,False,8.523447882808535,9.177658550211207,9.507297422302743,9.573423048776483,9.545099022838468,0.0012131719850003,3.511129
